Event       Amount($) Date       Balance    
Withdrawal  306.2     5/3/2017   9693.8     
Withdrawal  922.8     5/3/2017   8771       
Withdrawal  571.6     5/3/2017   8199.4     
Withdrawal  3989.75   5/3/2017   4209.65    
Deposit     3982.75   5/3/2017   8192.4     
Withdrawal  1709.89   5/3/2017   6482.51    
Withdrawal  16.38     5/3/2017   6466.13    
Deposit     769       5/3/2017   7235.13    
Withdrawal  643.4     5/5/2017   6591.73    
Deposit     439.83    5/5/2017   7031.56    
Withdrawal  1059.2    5/5/2017   5972.36    
Withdrawal  1052      5/5/2017   4920.36    
Withdrawal  296.2     5/5/2017   4624.16    
Deposit     568.964   5/5/2017   5193.12    
Deposit     296.2     5/5/2017   5489.32    
Deposit     1000      5/5/2017   6489.32    
Withdrawal  10000     5/5/2017   6489.32    
Withdrawal  100       5/5/2017   6389.32    
